Chemosensors,Odorsensors,OxygenSensors,Nociceptors,Osmoceptors,Thermosensors,Mechanosensors,PropioSomatic,PropioHead,PropioTail,PropioPharynx
ADF,AWA,AQR,ASH,ASH,AFD,ALM,FLP,SMBV,AVG,I1
ASE,AWB,PQR,,AFD,AWC,AVM,PVD,SMBD,PDB,I2
ASG,AWC,URX,,FLP,FLP,PLM,DVA,SMDV,PHC,I3
ASH,ASH,BAG,,PHC,PVD,PVM,PVC,SMDD,PVR,I5
ASI,,,,PVD,PHC,IL1,ALN,SAAV,ALN,I6
ASJ,,,,,,CEPV,PLN,SAAD,PLN,MC
ASK,,,,,,CEPD,VA1,,PLM,M3
ADL,,,,,,OLQV,VA2,,,NSM
IL2,,,,,,OLQD,VA3,,,
PHA,,,,,,OLL,VA4,,,
PHB,,,,,,ADE,VA5,,,
,,,,,,PDE,VA6,,,
,,,,,,ASH,VA7,,,
,,,,,,FLP,VA8,,,
,,,,,,PVD,VA9,,,
,,,,,,,VA10,,,
,,,,,,,VA11,,,
,,,,,,,VA12,,,
,,,,,,,VB1,,,
,,,,,,,VB2,,,
,,,,,,,VB3,,,
,,,,,,,VB4,,,
,,,,,,,VB5,,,
,,,,,,,VB6,,,
,,,,,,,VB7,,,
,,,,,,,VB8,,,
,,,,,,,VB9,,,
,,,,,,,VB10,,,
,,,,,,,VB11,,,
,,,,,,,DA1,,,
,,,,,,,DA2,,,
,,,,,,,DA3,,,
,,,,,,,DA4,,,
,,,,,,,DA5,,,
,,,,,,,DA6,,,
,,,,,,,DA7,,,
,,,,,,,DA8,,,
,,,,,,,DA9,,,
,,,,,,,DB1,,,
,,,,,,,DB2,,,
,,,,,,,DB3,,,
,,,,,,,DB4,,,
,,,,,,,DB5,,,
,,,,,,,DB6,,,
,,,,,,,DB7,,,
