RI,c,hpV,rrp2rest,rrp2spike,surviveTime
0.15,0.7,-71.0,94.0,150.0,50.0
0.15,0.7,-71.5,57.0,0.0,7.0
0.15,0.7,-72.0,45.0,0.0,7.0
0.15,0.7,-72.5,49.0,0.0,8.0
0.15,0.7,-73.0,46.0,0.0,7.0
0.15,0.7,-73.5,56.0,0.0,7.0
0.15,0.7,-74.0,34.0,0.0,10.0
0.15,0.7,-74.5,59.0,0.0,8.0
0.15,0.7,-75.0,42.0,0.0,7.0
0.15,0.7,-75.5,60.0,0.0,10.0
0.15,0.7,-76.0,57.0,0.0,7.0
0.15,0.7,-76.5,39.0,0.0,4.0
0.15,0.7,-77.0,46.0,0.0,5.0
0.15,0.7,-77.5,39.0,0.0,7.0
0.15,0.7,-78.0,50.0,0.0,10.0
0.15,0.7,-78.5,71.0,0.0,8.0
0.15,0.7,-79.0,40.0,0.0,7.0
0.15,0.7,-79.5,45.0,0.0,10.0
0.15,0.7,-80.0,44.0,0.0,5.0
0.15,0.7,-81.0,43.0,0.0,7.0
0.15,0.7,-82.0,45.0,0.0,7.0
0.15,0.7,-83.0,47.0,0.0,10.0
0.15,0.7,-84.0,49.0,0.0,8.0
0.15,0.7,-85.0,63.0,0.0,10.0
0.15,0.7,-86.0,53.0,0.0,7.0
0.15,0.7,-87.0,49.0,0.0,7.0
0.15,0.7,-88.0,55.0,0.0,8.0
0.15,0.7,-89.0,47.0,0.0,7.0
0.15,0.7,-90.0,46.0,0.0,7.0
0.15,0.7,-91.0,35.0,0.0,7.0
0.15,0.7,-92.0,48.0,0.0,7.0
0.15,0.7,-93.0,54.0,0.0,8.0
0.15,0.7,-94.0,38.0,0.0,4.0
0.15,0.7,-95.0,49.0,0.0,7.0
0.15,0.7,-96.0,50.0,0.0,7.0
0.15,0.7,-97.0,66.0,0.0,12.0
0.15,0.7,-98.0,65.0,0.0,10.0
0.15,0.7,-99.0,42.0,0.0,10.0
0.15,0.7,-100.0,44.0,0.0,7.0
0.15,0.7,-102.0,55.0,0.0,8.0
0.15,0.7,-104.0,52.0,0.0,10.0
0.15,0.7,-106.0,45.0,0.0,10.0
0.15,0.7,-108.0,53.0,0.0,7.0
0.15,0.7,-110.0,48.0,0.0,7.0
0.15,0.8,-71.0,45.0,0.0,7.0
0.15,0.8,-71.5,49.0,0.0,7.0
0.15,0.8,-72.0,87.0,155.0,50.0
0.15,0.8,-72.5,700.0,2.0,50.0
0.15,0.8,-73.0,41.0,0.0,5.0
0.15,0.8,-73.5,62.0,0.0,10.0
0.15,0.8,-74.0,60.0,4.0,17.0
0.15,0.8,-74.5,62.0,0.0,10.0
0.15,0.8,-75.0,743.0,2.0,50.0
0.15,0.8,-75.5,57.0,0.0,10.0
0.15,0.8,-76.0,875.0,1.0,50.0
0.15,0.8,-76.5,85.0,4.0,14.0
0.15,0.8,-77.0,694.0,1.0,50.0
0.15,0.8,-77.5,51.0,0.0,10.0
0.15,0.8,-78.0,67.0,0.0,11.0
0.15,0.8,-78.5,49.0,0.0,11.0
0.15,0.8,-79.0,61.0,0.0,7.0
0.15,0.8,-79.5,43.0,0.0,10.0
0.15,0.8,-80.0,53.0,0.0,7.0
0.15,0.8,-81.0,177.0,0.0,50.0
0.15,0.8,-82.0,168.0,0.0,50.0
0.15,0.8,-83.0,55.0,0.0,11.0
0.15,0.8,-84.0,54.0,0.0,11.0
0.15,0.8,-85.0,659.0,1.0,50.0
0.15,0.8,-86.0,38.0,0.0,7.0
0.15,0.8,-87.0,61.0,0.0,8.0
0.15,0.8,-88.0,47.0,0.0,7.0
0.15,0.8,-89.0,56.0,0.0,7.0
0.15,0.8,-90.0,51.0,0.0,7.0
0.15,0.8,-91.0,63.0,0.0,8.0
0.15,0.8,-92.0,84.0,0.0,11.0
0.15,0.8,-93.0,47.0,0.0,13.0
0.15,0.8,-94.0,71.0,0.0,11.0
0.15,0.8,-95.0,669.0,0.0,50.0
0.15,0.8,-96.0,661.0,0.0,50.0
0.15,0.8,-97.0,523.0,4.0,50.0
0.15,0.8,-98.0,532.0,0.0,50.0
0.15,0.8,-99.0,41.0,0.0,7.0
0.15,0.8,-100.0,61.0,0.0,7.0
0.15,0.8,-102.0,52.0,0.0,10.0
0.15,0.8,-104.0,48.0,0.0,11.0
0.15,0.8,-106.0,165.0,0.0,50.0
0.15,0.8,-108.0,166.0,0.0,50.0
0.15,0.8,-110.0,53.0,0.0,7.0
