From,To,Weight,logWeight,Syn
I1L,I2L,2,1.69314718055995,electrical
I1L,M3L,2,1.69314718055995,electrical
I1L,MCR,1,1,electrical
I1L,NSML,3,2.09861228866811,electrical
I1R,I2R,1,1,electrical
I1R,I3,1,1,electrical
I1R,MCR,4,2.38629436111989,electrical
I1R,NSMR,2,1.69314718055995,electrical
I2L,I1L,2,1.69314718055995,electrical
I2L,I4,1,1,electrical
I2L,M2L,1,1,electrical
I2R,I1R,1,1,electrical
I2R,M1,1,1,electrical
I2R,M2R,1,1,electrical
I2R,MCR,1,1,electrical
I2R,NSMR,2,1.69314718055995,electrical
I3,I1R,1,1,electrical
I3,M1,1,1,electrical
I3,MI,1,1,electrical
I4,I2L,1,1,electrical
I4,M2R,2,1.69314718055995,electrical
I4,M4,1,1,electrical
I5,M2L,1,1,electrical
I5,M2R,1,1,electrical
I5,M5,1,1,electrical
I6,M4,5,2.6094379124341,electrical
M1,I2R,1,1,electrical
M1,I3,1,1,electrical
M2L,I2L,1,1,electrical
M2L,I5,1,1,electrical
M2L,M4,1,1,electrical
M2L,MCL,1,1,electrical
M2R,I2R,1,1,electrical
M2R,I4,2,1.69314718055995,electrical
M2R,I5,1,1,electrical
M2R,M3R,1,1,electrical
M2R,MCR,11,3.39789527279837,electrical
M2R,MI,5,2.6094379124341,electrical
M3L,I1L,2,1.69314718055995,electrical
M3L,NSMR,1,1,electrical
M3R,M2R,1,1,electrical
M3R,NSMR,2,1.69314718055995,electrical
M4,I4,1,1,electrical
M4,I6,5,2.6094379124341,electrical
M4,M2L,1,1,electrical
M4,M4,1,1,electrical
M4,M5,2,1.69314718055995,electrical
M5,I5,1,1,electrical
M5,M4,2,1.69314718055995,electrical
M5,M5,1,1,electrical
MCL,M2L,1,1,electrical
MCR,I1L,1,1,electrical
MCR,I1R,4,2.38629436111989,electrical
MCR,I2R,1,1,electrical
MCR,M2R,11,3.39789527279837,electrical
MI,I3,1,1,electrical
MI,M2R,5,2.6094379124341,electrical
NSML,I1L,3,2.09861228866811,electrical
NSML,NSMR,2,1.69314718055995,electrical
NSMR,I1R,2,1.69314718055995,electrical
NSMR,I2R,2,1.69314718055995,electrical
NSMR,M3L,1,1,electrical
NSMR,M3R,2,1.69314718055995,electrical
NSMR,NSML,2,1.69314718055995,electrical
